No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"camping","commercial","1,2mln","€0,82","7","63"
2,"camping frankrijk","informational","27.100","€1,10","57","64"
3,"camping de paal","commercial","27.100","€0,03","19","31"
4,"camping de kleine wolf","commercial","27.100","€0,15","8","16"
5,"camping bakkum","commercial, informational","22.200","€0,05","12","38"
6,"camping de leistert","commercial","22.200","€0,26","10","36"
7,"camping italie","commercial","14.800","€1,06","69","58"
8,"camping de lakens","commercial","14.800","€0,03","13","21"
9,"camping kroatie","commercial","12.100","€1,40","69","57"
10,"camping geversduin","commercial","12.100","€0,03","11","25"
11,"camping gardameer","commercial","12.100","€1,46","75","40"
12,"camping nederland","informational, commercial","12.100","€0,83","68","62"
13,"camping texel","commercial, informational","12.100","€0,33","38","45"
14,"camping terspegelt",null,"12.100","€0,47","21","28"
15,"camping zeeland","informational","12.100","€1,08","60","44"
16,"camping buitenland","commercial, informational","9.900","€1,28","2","22"
17,"camping spanje","commercial","9.900","€1,40","68","55"
18,"camping luxemburg","informational, commercial","9.900","€0,54","41","42"
19,"camping oostenrijk","commercial","9.900","€0,58","57","50"
20,"camping samoza","informational","9.900","€0,87","3","32"
21,"camping sanguli","commercial","9.900","€1,03","45","34"
22,"campingbedje","transactional","8.100","€0,50","100","37"
23,"campingaz","navigational, transactional","8.100","€0,25","100","15"
24,"camping amfora","commercial","8.100","€1,18","12","30"
25,"camping castell montgri","commercial","8.100","€4,06","64","32"
26,"camping comomeer","commercial","8.100","€0,94","43","25"
27,"camping duitsland","informational","8.100","€0,46","37","38"
28,"camping lago maggiore","informational, commercial","8.100","€0,75","56","36"
29,"camping limburg","informational, commercial","8.100","€0,65","52","55"
30,"camping ommerland","commercial","8.100","€0,04","11","13"
31,"camping wedderbergen","commercial","8.100","€0,32","28","20"
32,"camping zuid frankrijk","commercial, informational","8.100","€0,97","64","38"
33,"camping ardennen","commercial","6.600","€0,66","56","44"
